Live?,Status,Product,Type,SKU,Barcode,Volume (ml),Missing metafields,ABV %,Standard drinks,Country,Region,Producer,Style
LIVE,ACTIVE,Aberlour A'bunadh Single Malt Whisky,Whisky,SH-SCW-ABERLOUR-ABUNADH-700,5010739261523,700,abv; standard_drinks,,,,,
LIVE,ACTIVE,Banrock Station Moscato 1L,White Wine,SH-WHT-BANROCK-MOSCATO-1000,9311043766282,1000,region,,,,,
LIVE,ACTIVE,Brokenwood Graveyard Shiraz,Wine,SH-FINE-BROKENWOOD-GRAVEYARD-SHIRAZ-750,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Champagne Deutz Amour de Deutz Brut Millesime 2011,Wine,SH-FINE-CHAMPAGNE-DEUTZ-AMOUR-DE-DEUTZ-BRUT-MILLESIME-2011-750,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Divas VKAT Original 700ml,Liqueur,SH-LIQ-DIVAS-VKAT-700,9331772900047,700,abv; standard_drinks; region,,,,,
LIVE,ACTIVE,Dom Perignon Rose,Wine,SH-FINE-DOM-PERIGNON-ROSE-750,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Hardys VR Shiraz 1L,Red Wine,SH-RED-HARDYS-VR-SHIRAZ-1000,9311043090479,1000,region,,,,,
LIVE,ACTIVE,Moët & Chandon Dom Pérignon,Wine,SH-FINE-MO-T-AND-CHANDON-DOM-PERIGNON-750,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Nikka From The Barrel Japanese Whisky,Whisky,SH-WHY-NIKKA-FROM-THE-BARREL-500,4904230100683,500,region,,,,,
LIVE,ACTIVE,Nobby's Salted Peanuts 170g,snack,,,,abv; volume_ml; standard_drinks; region,,,,,
LIVE,ACTIVE,Penfolds Grange,Wine,SH-FINE-PENFOLDS-GRANGE-750,9310297026517,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Poggio Al Tesoro Dedicato A Walter Bolgheri Superiore DOC Tuscany Italy,Wine,SH-FINE-POGGIO-AL-TESORO-DEDICATO-A-WALTER-BOLGHERI-SUPERIORE-DOC-TUSCANY-ITALY-,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,San Polo Brunello di Montalcino DOCG Vignavecchia 2017 Sangiovese Tuscany Italy,Wine,SH-FINE-SAN-POLO-BRUNELLO-DI-MONTALCINO-DOCG-VIGNAVECCHIA-2017-SANGIOVESE-TUSCAN,,750,abv; standard_drinks,,,,,
LIVE,ACTIVE,Sheep Dog Peanut Butter Whiskey 700ml,Liqueur,SH-LIQ-SHEEP-DOG-PEANUT-BUTTER-700,,700,region,,,,,
LIVE,ACTIVE,Tequila Blu,Tequila,SH-TEQ-BLU-700,9329982019802,700,abv; standard_drinks; region,,,,,
